Name,Headquarters,Assets (2021),Industry,Net income (2021)
Habib Bank Limited,Karachi,US$26.3 billion[6],Banking,US$217 million
Pakistan State Oil,Karachi,US$4.2 billion (2023)[7],Petroleum,US$149.5 million[7]
Allied Bank Limited,Lahore,US$12.3 billion [8],Banking,US$106 million
MCB Bank,Lahore,US$11.6 billion[9],Banking,US$189 million[9]
Askari Bank,Rawalpindi,US$7.7 billion[10],Banking,US$126 million[10] (2021)
Oil & Gas Development Company,Islamabad,US$5.6 billion (2022)[11],Petroleum,US$657 million [11]
DG Cement,Lahore,,Construction,US$21 million (2016)[12][13]
Nishat Mills,Faisalabad,,Textiles,US$520 million[14]
Engro Corporation,Karachi,US$4.8 billion,Fertilizer,US$367 million
Bank of Punjab,Lahore,US$0.736 billion,Banking,US$76 million[15]
Forward Sports,Sialkot,,Sport goods,US$51 million[16]
Systems Ltd,Lahore,US$0.5 billion (2022)[17],Information technology,US$27 million (2022)[18]
Lakson Group,Karachi,US$10 billion,Conglomerate company,US$363 million[19]
